"","x"
"1","2338"
"2","2338"
"3","2338"
"4","2338"
"5","2338"
"6","2338"
"7","2338"
"8","2338"
"9","2338"
"10","2338"
"11","2338"
"12","2338"
"13","2338"
"14","2338"
"15","2338"
"16","2338"
"17","2338"
"18","2338"
"19","2338"
"20","2338"
"21","2338"
"22","2338"
"23","2339"
"24","2339"
"25","2339"
"26","2339"
"27","2339"
"28","2339"
"29","2339"
"30","2339"
"31","2339"
"32","2339"
"33","2339"
"34","2339"
"35","2339"
"36","2339"
"37","2339"
"38","2339"
"39","2339"
"40","K562"
"41","K562"
"42","K562"
"43","K562"
"44","K562"
"45","K562"
"46","K562"
"47","K562"
"48","K562"
"49","K562"
"50","K562"
"51","BJ"
"52","BJ"
"53","BJ"
"54","BJ"
"55","BJ"
"56","BJ"
"57","BJ"
"58","BJ"
"59","BJ"
"60","BJ"
"61","BJ"
"62","BJ"
"63","BJ"
"64","BJ"
"65","BJ"
"66","BJ"
"67","BJ"
"68","BJ"
"69","BJ"
"70","BJ"
"71","BJ"
"72","BJ"
"73","BJ"
"74","BJ"
"75","BJ"
"76","BJ"
"77","BJ"
"78","BJ"
"79","BJ"
"80","BJ"
"81","BJ"
"82","BJ"
"83","BJ"
"84","BJ"
"85","BJ"
"86","BJ"
"87","BJ"
"88","K562"
"89","K562"
"90","K562"
"91","K562"
"92","K562"
"93","K562"
"94","K562"
"95","K562"
"96","K562"
"97","K562"
"98","K562"
"99","K562"
"100","K562"
"101","K562"
"102","K562"
"103","K562"
"104","K562"
"105","K562"
"106","K562"
"107","K562"
"108","K562"
"109","K562"
"110","K562"
"111","K562"
"112","K562"
"113","K562"
"114","K562"
"115","K562"
"116","K562"
"117","K562"
"118","K562"
"119","HL60"
"120","HL60"
"121","HL60"
"122","HL60"
"123","HL60"
"124","HL60"
"125","HL60"
"126","HL60"
"127","HL60"
"128","HL60"
"129","HL60"
"130","HL60"
"131","HL60"
"132","HL60"
"133","HL60"
"134","HL60"
"135","HL60"
"136","HL60"
"137","HL60"
"138","HL60"
"139","HL60"
"140","HL60"
"141","HL60"
"142","HL60"
"143","HL60"
"144","HL60"
"145","HL60"
"146","HL60"
"147","HL60"
"148","HL60"
"149","HL60"
"150","HL60"
"151","HL60"
"152","HL60"
"153","HL60"
"154","HL60"
"155","HL60"
"156","HL60"
"157","HL60"
"158","HL60"
"159","HL60"
"160","HL60"
"161","HL60"
"162","HL60"
"163","HL60"
"164","HL60"
"165","HL60"
"166","HL60"
"167","HL60"
"168","HL60"
"169","HL60"
"170","HL60"
"171","HL60"
"172","HL60"
"173","hiPSC"
"174","hiPSC"
"175","hiPSC"
"176","hiPSC"
"177","hiPSC"
"178","hiPSC"
"179","hiPSC"
"180","hiPSC"
"181","hiPSC"
"182","hiPSC"
"183","hiPSC"
"184","hiPSC"
"185","hiPSC"
"186","hiPSC"
"187","hiPSC"
"188","hiPSC"
"189","hiPSC"
"190","hiPSC"
"191","hiPSC"
"192","hiPSC"
"193","hiPSC"
"194","hiPSC"
"195","hiPSC"
"196","hiPSC"
"197","Kera"
"198","Kera"
"199","Kera"
"200","Kera"
"201","Kera"
"202","Kera"
"203","Kera"
"204","Kera"
"205","Kera"
"206","Kera"
"207","Kera"
"208","Kera"
"209","Kera"
"210","Kera"
"211","Kera"
"212","Kera"
"213","Kera"
"214","Kera"
"215","Kera"
"216","Kera"
"217","Kera"
"218","Kera"
"219","Kera"
"220","Kera"
"221","Kera"
"222","Kera"
"223","Kera"
"224","Kera"
"225","Kera"
"226","Kera"
"227","Kera"
"228","Kera"
"229","Kera"
"230","Kera"
"231","Kera"
"232","Kera"
"233","Kera"
"234","Kera"
"235","Kera"
"236","Kera"
"237","GW21+3"
"238","GW21+3"
"239","GW21+3"
"240","GW21+3"
"241","GW21+3"
"242","GW21+3"
"243","GW21+3"
"244","GW21+3"
"245","GW21+3"
"246","GW21+3"
"247","GW21+3"
"248","GW21+3"
"249","GW21+3"
"250","GW21+3"
"251","GW21+3"
"252","GW21+3"
"253","GW21"
"254","GW21+3"
"255","GW21"
"256","GW21"
"257","GW21"
"258","GW21"
"259","GW21"
"260","GW21"
"261","NPC"
"262","NPC"
"263","NPC"
"264","NPC"
"265","NPC"
"266","NPC"
"267","NPC"
"268","NPC"
"269","NPC"
"270","NPC"
"271","NPC"
"272","NPC"
"273","NPC"
"274","NPC"
"275","NPC"
"276","GW16"
"277","GW16"
"278","GW16"
"279","GW16"
"280","GW16"
"281","GW16"
"282","GW16"
"283","GW16"
"284","GW16"
"285","GW16"
"286","GW16"
"287","GW16"
"288","GW16"
"289","GW16"
"290","GW16"
"291","GW16"
"292","GW16"
"293","GW16"
"294","GW16"
"295","GW16"
"296","GW16"
"297","GW16"
"298","GW16"
"299","GW16"
"300","GW16"
"301","GW16"
