"","x"
"1","oocyte"
"2","oocyte"
"3","oocyte"
"4","zygote"
"5","zygote"
"6","zygote"
"7","2cell"
"8","2cell"
"9","2cell"
"10","2cell"
"11","2cell"
"12","2cell"
"13","4cell"
"14","4cell"
"15","4cell"
"16","4cell"
"17","4cell"
"18","4cell"
"19","4cell"
"20","4cell"
"21","4cell"
"22","4cell"
"23","4cell"
"24","4cell"
"25","8cell"
"26","8cell"
"27","8cell"
"28","8cell"
"29","8cell"
"30","8cell"
"31","8cell"
"32","8cell"
"33","8cell"
"34","8cell"
"35","8cell"
"36","8cell"
"37","8cell"
"38","8cell"
"39","8cell"
"40","8cell"
"41","8cell"
"42","8cell"
"43","8cell"
"44","8cell"
"45","morula"
"46","morula"
"47","morula"
"48","morula"
"49","morula"
"50","morula"
"51","morula"
"52","morula"
"53","morula"
"54","morula"
"55","morula"
"56","morula"
"57","morula"
"58","morula"
"59","morula"
"60","morula"
"61","lateblast"
"62","lateblast"
"63","lateblast"
"64","lateblast"
"65","lateblast"
"66","lateblast"
"67","lateblast"
"68","lateblast"
"69","lateblast"
"70","lateblast"
"71","lateblast"
"72","lateblast"
"73","lateblast"
"74","lateblast"
"75","lateblast"
"76","lateblast"
"77","lateblast"
"78","lateblast"
"79","lateblast"
"80","lateblast"
"81","lateblast"
"82","lateblast"
"83","lateblast"
"84","lateblast"
"85","lateblast"
"86","lateblast"
"87","lateblast"
"88","lateblast"
"89","lateblast"
"90","lateblast"
